alpha,beta,gamma,selected_ranker,selected_k,selected_macro_f1,selected_n_selected,selected_normalized_inference_time,j,guarded,performance_floor
0.05,0.35,0.6,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6303384519167126,False,
0.05,0.4,0.55,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.584330566844275,False,
0.05,0.45,0.5,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5383226817718373,False,
0.05,0.5,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.49231479669939954,False,
0.05,0.55,0.4,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.44630691162696184,False,
0.05,0.6,0.35,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.4002990265545241,False,
0.05,0.65,0.3,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.35429114148208635,False,
0.05,0.7,0.25,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.3082832564096487,False,
0.05,0.75,0.2,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.262275371337211,False,
0.05,0.8,0.15,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.21626748626477324,False,
0.05,0.85,0.1,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.17025960119233555,False,
0.05,0.9,0.05,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.12425171611989783,False,
0.05,0.95,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.07788638417599875,False,
0.1,0.0,0.9,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.9121658252828571,False,
0.1,0.05,0.85,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.8661579402104194,False,
0.1,0.1,0.8,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.8201500551379817,False,
0.1,0.15,0.75,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.774142170065544,False,
0.1,0.2,0.7,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.7281342849931062,False,
0.1,0.25,0.65,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6821263999206685,False,
0.1,0.3,0.6,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6361185148482307,False,
0.1,0.35,0.55,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5901106297757931,False,
0.1,0.4,0.5,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5441027447033553,False,
0.1,0.45,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.49809485963091765,False,
0.1,0.5,0.4,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.4520869745584799,False,
0.1,0.55,0.35,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.40607908948604216,False,
0.1,0.6,0.3,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.36007120441360446,False,
0.1,0.65,0.25,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.31406331934116677,False,
0.1,0.7,0.2,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.268055434268729,False,
0.1,0.75,0.15,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.22204754919629133,False,
0.1,0.8,0.1,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.17603966412385363,False,
0.1,0.85,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.12968581183025835,False,
0.1,0.9,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.08330900023605546,False,
0.15,0.0,0.85,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.8719380031419375,False,
0.15,0.05,0.8,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.8259301180694998,False,
0.15,0.1,0.75,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.779922232997062,False,
0.15,0.15,0.7,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.7339143479246242,False,
0.15,0.2,0.65,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6879064628521866,False,
0.15,0.25,0.6,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6418985777797488,False,
0.15,0.3,0.55,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5958906927073112,False,
0.15,0.35,0.5,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5498828076348734,False,
0.15,0.4,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5038749225624357,False,
0.15,0.45,0.4,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.457867037489998,False,
0.15,0.5,0.35,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.4118591524175602,False,
0.15,0.55,0.3,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.3658512673451225,False,
0.15,0.6,0.25,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.31984338227268483,False,
0.15,0.65,0.2,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.27383549720024714,False,
0.15,0.7,0.15,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.2278276121278094,False,
0.15,0.75,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.18148523948451795,False,
0.15,0.8,0.05,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.13510842789031507,False,
0.15,0.85,0.0,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.08873161629611218,False,
0.2,0.0,0.8,rf_importance,20,0.8246597361705674,20.0,0.9952290674525848,0.8312513067279544,False,
0.2,0.05,0.75,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.7857022959285801,False,
0.2,0.1,0.7,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.7396944108561423,False,
0.2,0.15,0.65,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6936865257837047,False,
0.2,0.2,0.6,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6476786407112669,False,
0.2,0.25,0.55,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.6016707556388292,False,
0.2,0.3,0.5,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5556628705663915,False,
0.2,0.35,0.45,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.5096549854939538,False,
0.2,0.4,0.4,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.4636471004215161,False,
0.2,0.45,0.35,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.41763921534907833,False,
0.2,0.5,0.3,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.37163133027664064,False,
0.2,0.55,0.25,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.32562344520420294,False,
0.2,0.6,0.2,mutual_info,10,0.8119349732536963,10.0,0.9926214695646963,0.27961556013176525,False,
0.2,0.65,0.15,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.23328466713877755,False,
0.2,0.7,0.1,gb_importance,10,0.8190839106829236,10.0,0.9999999999999998,0.18690785554457467,False,
