run,model_id,metric,n_folds,mean,sd,min,max,ci_low,ci_high,ci_kind,formatted
EXP-C1-three_class,M3,balanced_accuracy,5,0.41653779397203516,0.024098496077475825,0.380719395330004,0.4435883480173714,0.3866155589817788,0.44646002896229153,95% t-interval of the fold mean,0.4165 +/- 0.0241
EXP-C1-three_class,M3,accuracy,5,0.7941848141260224,0.01613325280225907,0.7677725118483413,0.8088467614533965,0.7741527349475373,0.8142168933045074,95% t-interval of the fold mean,0.7942 +/- 0.0161
EXP-C1-three_class,M3,macro_f1,5,0.4248288419357172,0.03172903386837196,0.3764441780379159,0.4590566122577454,0.3854320428835718,0.46422564098786256,95% t-interval of the fold mean,0.4248 +/- 0.0317
EXP-C1-three_class,M4,balanced_accuracy,5,0.5471122132238819,0.01977766474433624,0.5261935147357952,0.5692158922112234,0.5225549989422957,0.5716694275054681,95% t-interval of the fold mean,0.5471 +/- 0.0198
EXP-C1-three_class,M4,accuracy,5,0.7436013958045875,0.027829807564496302,0.7140600315955766,0.7784810126582279,0.7090461256748136,0.7781566659343614,95% t-interval of the fold mean,0.7436 +/- 0.0278
EXP-C1-three_class,M4,macro_f1,5,0.5338709573937482,0.022553714759956555,0.509230958149053,0.5639066951566952,0.5058668217505533,0.5618750930369432,95% t-interval of the fold mean,0.5339 +/- 0.0226
EXP-C1-three_class,M5,balanced_accuracy,5,0.5454591693542291,0.025849204935973258,0.5063039495289001,0.5719539125307571,0.5133631422030401,0.5775551965054181,95% t-interval of the fold mean,0.5455 +/- 0.0258
EXP-C1-three_class,M5,accuracy,5,0.7293928849961006,0.03661149489117923,0.6824644549763034,0.7768987341772152,0.6839337098693022,0.7748520601228989,95% t-interval of the fold mean,0.7294 +/- 0.0366
EXP-C1-three_class,M5,macro_f1,5,0.5223226566508189,0.023511682723782717,0.4914276861092999,0.55113658271553,0.4931290466755085,0.5515162666261293,95% t-interval of the fold mean,0.5223 +/- 0.0235
EXP-C1-three_class,M6,balanced_accuracy,5,0.41821551398171986,0.028391634886268797,0.3801232734961983,0.4564411334489914,0.38296264309329386,0.45346838487014585,95% t-interval of the fold mean,0.4182 +/- 0.0284
EXP-C1-three_class,M6,accuracy,5,0.7979812826204332,0.01718656912610125,0.7709320695102686,0.8164556962025317,0.7766413384839129,0.8193212267569535,95% t-interval of the fold mean,0.7980 +/- 0.0172
EXP-C1-three_class,M6,macro_f1,5,0.4268733845834679,0.036504089442155614,0.3752017332035833,0.4726843090306458,0.38154757093593317,0.47219919823100265,95% t-interval of the fold mean,0.4269 +/- 0.0365
EXP-C1-three_class,M7,balanced_accuracy,5,0.4615926756793295,0.06076209381783647,0.390077383362577,0.5305736705632679,0.38614657133024244,0.5370387800284165,95% t-interval of the fold mean,0.4616 +/- 0.0608
EXP-C1-three_class,M7,accuracy,5,0.7736211930329755,0.03344813797508666,0.7199367088607594,0.8072669826224329,0.7320898443023582,0.8151525417635928,95% t-interval of the fold mean,0.7736 +/- 0.0334
EXP-C1-three_class,M7,macro_f1,5,0.47145345136879335,0.061484892628624464,0.3956612392366582,0.5256584306272061,0.39510987375840634,0.5477970289791804,95% t-interval of the fold mean,0.4715 +/- 0.0615
EXP-C1-two_class,M3,sensitivity,5,0.24850511408339893,0.05307557149121679,0.1693548387096774,0.3089430894308943,0.18260308777866496,0.3144071403881329,95% t-interval of the fold mean,0.2485 +/- 0.0531
EXP-C1-two_class,M3,balanced_accuracy,5,0.61923425706179,0.02770922585185487,0.5763092185180186,0.6492414191924346,0.5848287089034448,0.6536398052201352,95% t-interval of the fold mean,0.6192 +/- 0.0277
EXP-C1-two_class,M3,specificity,5,0.9899634000401812,0.004991421240739432,0.9832635983263598,0.99581589958159,0.9837657319856855,0.996161068094677,95% t-interval of the fold mean,0.9900 +/- 0.0050
