run,rank,model_id,model_name,x,mean,sd,n_folds,pr_auc_mean,pr_auc_sd,prevalence,legend
EXP-A1,2,M1,Logistic Regression,0.15,0.88975,0.077793,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.16,0.888151,0.07587,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.17,0.882298,0.077843,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.18,0.877676,0.075441,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.19,0.869908,0.082098,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.2,0.867467,0.0828,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.21,0.866839,0.080907,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.22,0.862688,0.075598,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.23,0.860253,0.069536,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.24,0.858541,0.066499,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.25,0.851987,0.066795,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.26,0.848431,0.063922,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.27,0.842804,0.06654,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.28,0.839273,0.068757,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.29,0.83416,0.07192,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.3,0.82786,0.074422,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.31,0.823546,0.075934,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.32,0.819235,0.077067,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.33,0.814146,0.079058,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.34,0.814292,0.078915,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.35,0.812987,0.076802,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.36,0.81078,0.076406,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.37,0.803604,0.078681,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.38,0.793411,0.082034,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.39,0.791181,0.083664,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.4,0.788628,0.084846,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.41,0.786147,0.086412,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.42,0.783007,0.088493,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.43,0.783256,0.087654,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.44,0.780296,0.085923,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.45,0.775686,0.087002,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.46,0.773359,0.087607,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.47,0.767987,0.084352,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.48,0.765806,0.084481,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.49,0.763645,0.08176,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.5,0.760691,0.080131,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.51,0.756851,0.080832,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.52,0.750437,0.080043,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.53,0.74708,0.079952,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.54,0.742449,0.076322,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
EXP-A1,2,M1,Logistic Regression,0.55,0.735315,0.076269,25,0.7394381410081831,0.0558545321854523,0.2052469135802469,M1 Logistic Regression  AP 0.739
