run,task,model_id,fold_label,quality_group,n_units,n_records_corpus,reported,mean_snr_proxy_db,n_classes_present,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,support,n_classes,ovr_auc_macro,precision_normal,recall_normal,f1_normal,support_normal,precision_murmur,recall_murmur,f1_murmur,support_murmur,precision_extrastole,recall_extrastole,f1_extrastole,support_extrastole
EXP-B2,pascal_b,M1,r0f3,noisy,7,14,False,3.7239961428571426,2,0.8571428571428571,0.75,0.5252525252525252,0.8398268398268397,0.6111111111111112,0.5,7.0,3.0,,0.8333333333333334,1.0,0.9090909090909091,5.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f4,clean,76,384,True,17.838323657894733,3,0.5394736842105263,0.4452614379084967,0.4374672946101517,0.5557919524084937,0.4524405506883605,0.4452614379084967,76.0,3.0,0.6328722197834358,0.6808510638297872,0.6274509803921569,0.6530612244897959,51.0,0.5,0.375,0.42857142857142855,16.0,0.17647058823529413,0.3333333333333333,0.23076923076923078,9.0
EXP-B2,pascal_b,M1,r0f4,low_quality_other,14,63,False,19.28227035714286,2,0.7857142857142857,0.6666666666666667,0.5252525252525252,0.8744588744588745,0.6666666666666666,0.4444444444444445,14.0,3.0,,1.0,0.8333333333333334,0.9090909090909091,12.0,1.0,0.5,0.6666666666666666,2.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M1,r0f4,noisy,2,14,False,2.9380465,2,0.5,0.5,0.2222222222222222,0.3333333333333333,0.16666666666666666,0.3333333333333333,2.0,3.0,,0.5,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M3,r0f0,clean,75,384,True,17.93783685333333,3,0.72,0.4166666666666667,0.4088154269972452,0.6362975206611571,0.568075117370892,0.4166666666666667,75.0,3.0,0.6311179839829558,0.704225352112676,1.0,0.8264462809917356,50.0,1.0,0.25,0.4,16.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M3,r0f0,low_quality_other,13,63,False,17.307088153846152,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,13.0,3.0,,1.0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M3,r0f0,noisy,4,14,False,3.6767112500000003,2,0.25,0.5,0.13333333333333333,0.1,0.08333333333333333,0.3333333333333333,4.0,3.0,,0.25,1.0,0.4,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M3,r0f1,clean,80,384,True,16.2013022875,3,0.6625,0.36201079622132254,0.3241719520789288,0.5571353065539111,0.443001443001443,0.36201079622132254,80.0,3.0,0.6496838128169472,0.6623376623376623,0.9807692307692307,0.7906976744186046,52.0,0.6666666666666666,0.10526315789473684,0.18181818181818182,19.0,0.0,0.0,0.0,9.0
EXP-B2,pascal_b,M3,r0f1,low_quality_other,12,63,False,20.850760166666667,1,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,12.0,3.0,,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXP-B2,pascal_b,M3,r0f2,clean,78,384,True,17.314210717948722,3,0.6794871794871795,0.3925339366515837,0.37669376693766937,0.6038148843026891,0.42052313883299797,0.3925339366515837,78.0,3.0,0.6922370881469515,0.6901408450704225,0.9423076923076923,0.7967479674796748,52.0,0.5714285714285714,0.23529411764705882,0.3333333333333333,17.0,0.0,0.0,0.0,9.0
