model_id,kind,feature,importance,scoring,n_repeats,n_scored_rows,computed_on,rank,importance_std
M4,permutation,time_std,-2.2204460492503132e-17,balanced_accuracy,10,647,held-out fold,72,0.0016939908920452938
M4,permutation,freq_dominant,-1.912327155049187e-05,balanced_accuracy,10,647,held-out fold,73,0.0014670703056186524
M4,permutation,mfcc_09_delta_mean,-9.70873786407922e-05,balanced_accuracy,10,647,held-out fold,74,0.0014896067702270274
M4,permutation,chroma_01_std,-9.70873786408033e-05,balanced_accuracy,10,647,held-out fold,75,0.0017188480951365222
M4,permutation,time_median,-0.0001941747572815622,balanced_accuracy,10,647,held-out fold,76,0.0003883495145631244
M4,permutation,mfcc_13_delta_mean,-0.0002912621359223433,balanced_accuracy,10,647,held-out fold,77,0.0004449102616462182
M4,permutation,env_skew,-0.0003008237716975892,balanced_accuracy,10,647,held-out fold,78,0.0011263278038356277
M4,permutation,mfcc_08_delta_mean,-0.0003787878787878896,balanced_accuracy,10,647,held-out fold,79,0.0011363636363636688
M4,permutation,time_min,-0.0003883495145631244,balanced_accuracy,10,647,held-out fold,80,0.0004756290762685998
M4,permutation,freq_band_power_100_150,-0.0003883495145631244,balanced_accuracy,10,647,held-out fold,80,0.00047562907626859987
M4,permutation,mfcc_13_mean,-0.0003883495145631244,balanced_accuracy,10,647,held-out fold,80,0.0004756290762685998
M4,permutation,mfcc_06_mean,-0.00043615769343926527,balanced_accuracy,10,647,held-out fold,83,0.002529189424006465
M4,permutation,env_kurtosis,-0.0004854368932039055,balanced_accuracy,10,647,held-out fold,84,0.0004854368932039055
M4,permutation,dwt_cA5_energy,-0.0004854368932039166,balanced_accuracy,10,647,held-out fold,85,0.005712561465331563
M4,permutation,env_std,-0.0004949985289791515,balanced_accuracy,10,647,held-out fold,86,0.001141317178284282
M4,permutation,mfcc_11_mean,-0.0004949985289791625,balanced_accuracy,10,647,held-out fold,87,0.0019528794031338631
M4,permutation,chroma_07_mean,-0.0005729626360694518,balanced_accuracy,10,647,held-out fold,88,0.0011379962964181394
M4,permutation,freq_bandwidth_std,-0.0005825242718446866,balanced_accuracy,10,647,held-out fold,89,0.0004756290762685998
M4,permutation,dwt_cA5_std,-0.0005825242718446866,balanced_accuracy,10,647,held-out fold,89,0.0004756290762685998
M4,permutation,freq_peak_power,-0.0005920859076199326,balanced_accuracy,10,647,held-out fold,91,0.0011363636363636352
M4,permutation,mfcc_12_delta_mean,-0.0007575757575758013,balanced_accuracy,10,647,held-out fold,92,0.0022727272727272926
M4,permutation,chroma_02_std,-0.0007575757575758235,balanced_accuracy,10,647,held-out fold,93,0.002834588929374207
M4,permutation,mfcc_08_std,-0.0007671373933510362,balanced_accuracy,10,647,held-out fold,94,0.0020231031355012062
M4,permutation,mfcc_09_mean,-0.0007958223006767184,balanced_accuracy,10,647,held-out fold,95,0.0025421730840592153
M4,permutation,mfcc_06_delta_mean,-0.0008546631362165491,balanced_accuracy,10,647,held-out fold,96,0.001723057196115878
M4,permutation,chroma_10_mean,-0.0008546631362165824,balanced_accuracy,10,647,held-out fold,97,0.0022589866752973126
M4,permutation,time_energy,-0.001020152986172429,balanced_accuracy,10,647,held-out fold,98,0.004045132321224857
M4,permutation,chroma_04_mean,-0.0010488378934981224,balanced_accuracy,10,647,held-out fold,99,0.0014325930993255383
M4,permutation,freq_band_power_20_50,-0.001058399529273346,balanced_accuracy,10,647,held-out fold,100,0.0013076393188651803
M4,permutation,mfcc_05_delta_mean,-0.0011363636363636686,balanced_accuracy,10,647,held-out fold,101,0.0017358241268772615
M4,permutation,mfcc_05_std,-0.0012525742865549193,balanced_accuracy,10,647,held-out fold,102,0.0028483235246432666
M4,permutation,dwt_cD5_mean_abs,-0.0013305383936452198,balanced_accuracy,10,647,held-out fold,103,0.004118601642161985
M4,permutation,dwt_cD3_energy,-0.0013496616651956894,balanced_accuracy,10,647,held-out fold,104,0.0011363636363636352
M4,permutation,dwt_cD5_energy,-0.0015055898793763455,balanced_accuracy,10,647,held-out fold,105,0.002438713624883378
M4,permutation,dwt_cD2_entropy,-0.001513680494263081,balanced_accuracy,10,647,held-out fold,106,0.001881052107720616
M4,permutation,freq_band_power_50_100,-0.0015438364224772405,balanced_accuracy,10,647,held-out fold,107,0.003058898451278972
M4,permutation,mfcc_04_std,-0.0016122388937923281,balanced_accuracy,10,647,held-out fold,108,0.0019924020852152527
M4,permutation,freq_rolloff85_mean,-0.0019321859370403538,balanced_accuracy,10,647,held-out fold,109,0.001986414913361534
M4,permutation,time_skewness,-0.002019711679905911,balanced_accuracy,10,647,held-out fold,110,0.0014969442775406832
M4,permutation,chroma_03_mean,-0.0021947631656369926,balanced_accuracy,10,647,held-out fold,111,0.00194642580145422
M4,permutation,chroma_03_std,-0.0022727272727273372,balanced_accuracy,10,647,held-out fold,112,0.0018556740475630666
M4,permutation,dwt_cD4_energy,-0.00228228890850255,balanced_accuracy,10,647,held-out fold,113,0.0033201597279753072
M4,permutation,chroma_11_mean,-0.0022918505442777737,balanced_accuracy,10,647,held-out fold,114,0.001856674292225395
M4,permutation,mfcc_08_mean,-0.0026213592233010007,balanced_accuracy,10,647,held-out fold,115,0.0031194214518064744
M4,permutation,env_mean,-0.0026610767872904282,balanced_accuracy,10,647,held-out fold,116,0.0026420939797578177
M4,permutation,freq_flatness_mean,-0.002748602530156008,balanced_accuracy,10,647,held-out fold,117,0.0016071906297317065
M4,permutation,freq_centroid_mean,-0.0027964107090320822,balanced_accuracy,10,647,held-out fold,118,0.002221051080097583
M4,permutation,mfcc_02_delta_mean,-0.0028552515445719796,balanced_accuracy,10,647,held-out fold,119,0.0020377616515473824
M4,permutation,mfcc_03_mean,-0.0030494263018535084,balanced_accuracy,10,647,held-out fold,120,0.002364212946682285
M4,permutation,time_hjorth_complexity,-0.003068549573403967,balanced_accuracy,10,647,held-out fold,121,0.0024990298424836825
M4,permutation,time_peak_to_peak,-0.0031178287731686294,balanced_accuracy,10,647,held-out fold,122,0.0024078537194665906
M4,permutation,time_range,-0.0031369520447190767,balanced_accuracy,10,647,held-out fold,123,0.002086144779996113
M4,permutation,chroma_01_mean,-0.0031369520447190992,balanced_accuracy,10,647,held-out fold,124,0.0016973447365247808
M4,permutation,time_zcr_std,-0.0031465136804943116,balanced_accuracy,10,647,held-out fold,125,0.0022382533910196216
M4,permutation,mfcc_07_mean,-0.003359811709326299,balanced_accuracy,10,647,held-out fold,126,0.0017079521765271475
M4,permutation,freq_centroid_std,-0.003409090909091006,balanced_accuracy,10,647,held-out fold,127,0.0011363636363636688
M4,permutation,chroma_10_std,-0.003409090909091006,balanced_accuracy,10,647,held-out fold,127,0.0011363636363636688
M4,permutation,freq_flux_std,-0.003700353045013294,balanced_accuracy,10,647,held-out fold,129,0.0021399826472601616
M4,permutation,mfcc_10_std,-0.003700353045013316,balanced_accuracy,10,647,held-out fold,130,0.0024978122028883726
M4,permutation,mfcc_04_delta_mean,-0.0037099146807885288,balanced_accuracy,10,647,held-out fold,131,0.0024565172375681185
