search,label,family,objective,model_id,step,best_so_far
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,12,0.846453
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,13,0.846453
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,14,0.846453
SO-02,SO-02 Bayesian,hyperparameter,"balanced accuracy, maximised",M5,15,0.846453
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,1,0.3236765991044394
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,2,0.3232848917220423
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,3,0.3180718273617556
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,4,0.3099280800382334
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,5,0.3099280800382334
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,6,0.3064785671599968
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,7,0.3034575620463733
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,8,0.3000080477416363
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,9,0.2954132509268983
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,10,0.2900920622286868
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,11,0.2856567682070358
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,12,0.2856567682070358
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,13,0.2781891734154046
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,14,0.2767868673184577
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,15,0.2749130580564908
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,16,0.2749130580564908
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,17,0.2749130580564908
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,18,0.2736638563664664
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,19,0.2717902625808337
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,20,0.2707448002148961
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,21,0.2669404082739569
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,22,0.2669404082739569
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,23,0.2669404082739569
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,24,0.2669404082739569
SO-03a,SO-03a Genetic,feature_mask,"J, minimised",M3,25,0.2669404082739569
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,1,0.3234988348348725
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,2,0.3221110687902736
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,3,0.3155171869088182
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,4,0.3146974570507487
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,5,0.3146974570507487
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,6,0.3141122197892284
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,7,0.313523341957678
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,8,0.3119501410701659
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,9,0.3119501410701659
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,10,0.3119501410701659
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,11,0.311308275169423
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,12,0.311308275169423
SO-03b,SO-03b PSO,feature_mask,"J, minimised",M3,13,0.311308275169423
