run,task,model_id,quality_group,n_records_corpus,reported,n_folds,n_units_mean,mean_snr_proxy_db,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,balanced_accuracy_mean,balanced_accuracy_sd,roc_auc_mean,roc_auc_sd,macro_f1_mean,macro_f1_sd,accuracy_mean,accuracy_sd
EXP-C1-two_class,circor_murmur,M4,clean,1612,True,5,322.4,9.895394045307905,0.5049177076104989,0.1461558619864431,0.9016161525942176,0.02673998781898896,0.7032669301023582,0.08347752070318042,0.7613615186297429,0.08953325806250333,,,0.8024665241592416,0.054634572910073134
EXP-C1-two_class,circor_murmur,M4,low_quality_other,7,False,4,1.75,10.16968475,0.25,0.5,1.0,0.0,0.625,0.25,1.0,0.0,,,0.875,0.25
EXP-C1-two_class,circor_murmur,M4,noisy,1388,True,5,277.6,0.9653655117467308,0.29069537641327325,0.10023208320684099,0.936162639803541,0.022119186837653466,0.6134290081084071,0.04217967031751908,0.6754414751798842,0.06448143215820759,,,0.837289996798706,0.015055049452624597
EXP-C1-two_class,circor_murmur,M5,clean,1612,True,5,322.4,9.895394045307905,0.48812134685707786,0.1378468336440276,0.8989575747021306,0.053260019150189804,0.6935394607796042,0.07038042549845647,0.7645781485518608,0.08064791052439506,,,0.7958242171147701,0.04974727081916422
EXP-C1-two_class,circor_murmur,M5,low_quality_other,7,False,4,1.75,10.16968475,0.25,0.5,1.0,0.0,0.625,0.25,1.0,0.0,,,0.875,0.25
EXP-C1-two_class,circor_murmur,M5,noisy,1388,True,5,277.6,0.9653655117467308,0.29788997150473395,0.11439213110221709,0.9392822664980315,0.03726205110097212,0.6185861190013827,0.04263115721723942,0.6940629178832058,0.07048899347507233,,,0.8414338017124751,0.021965345523127778
EXP-C1-two_class,circor_murmur,M6,clean,1612,True,5,322.4,9.895394045307905,0.6165793434987042,0.10352440666531613,0.8164091040215895,0.058441985378258295,0.7164942237601468,0.04914946037960428,0.7722856184106771,0.08578144950088964,,,0.766003385008203,0.041685716888747004
EXP-C1-two_class,circor_murmur,M6,low_quality_other,7,False,4,1.75,10.16968475,0.25,0.5,1.0,0.0,0.625,0.25,1.0,0.0,,,0.875,0.25
EXP-C1-two_class,circor_murmur,M6,noisy,1388,True,5,277.6,0.9653655117467308,0.4174492140821767,0.04595197414031348,0.8744394711001773,0.05037070475766489,0.6459443425911771,0.01720107164364106,0.7015604950291078,0.05099684520226504,,,0.8045628446667958,0.0389925849978034
EXP-C1-two_class,circor_murmur,M7,clean,1612,True,5,322.4,9.895394045307905,0.6165793434987042,0.10352440666531613,0.8164091040215895,0.058441985378258295,0.7164942237601468,0.04914946037960428,0.7722856184106771,0.08578144950088964,,,0.766003385008203,0.041685716888747004
