task,model_id,kind,feature,importance_mean,importance_sd,importance_min,importance_max,rank_mean,rank_sd,rank_best,rank_worst,n_folds,n_folds_positive,rank
binary,M1,permutation,mfcc_07_delta_mean,-0.002503665472832286,0.0032643373065650485,-0.006931488318349666,4.472805343508357e-05,98.2,29.878085614710994,51,132,5,1,123
binary,M1,permutation,chroma_07_mean,-0.0025514193149769816,0.001749066115191493,-0.0048926065994977066,-0.0006796116504854011,104.8,14.411800720243116,92,127,5,0,124
binary,M1,permutation,chroma_01_std,-0.00258458319175763,0.0035183455177435537,-0.007780969427523976,0.0018652544866137432,101.8,20.315019074566482,78,125,5,1,125
binary,M1,permutation,mfcc_08_delta_mean,-0.0027777107352044326,0.005495034812289465,-0.008991829675572615,0.0015655384268522866,93.8,32.660373543485385,44,131,5,3,126
binary,M1,permutation,mfcc_11_std,-0.0030026615255261888,0.003639172198369043,-0.0071039868356477355,0.0007841783389228474,103.2,26.771253239249,58,129,5,1,127
binary,M1,permutation,chroma_08_std,-0.0030419462675004864,0.005005513835706988,-0.007875602401149862,0.0031369520447190546,98.6,27.3367883995176,61,134,5,2,128
binary,M1,permutation,env_peak_rate,-0.0033521898384476835,0.006260966120290423,-0.009964923929674708,0.005124771215570723,103.2,27.698375403622503,61,133,5,2,129
binary,M1,permutation,mfcc_07_mean,-0.0033874135326142987,0.0014550841915122801,-0.005414330868320705,-0.0016226080094693175,110.6,18.420097719610503,85,134,5,0,130
binary,M1,permutation,chroma_10_std,-0.003666322769087924,0.004256553328322489,-0.009107508877277149,0.002509560585092896,104.8,24.853571171966415,77,128,5,1,131
binary,M1,permutation,chroma_12_std,-0.0037169949105096767,0.004152500877531764,-0.009637009272045782,6.840247131508769e-05,106.2,24.72245942457991,72,137,5,1,132
binary,M1,permutation,mfcc_11_mean,-0.003757906910674911,0.004643498890696507,-0.011388507872137466,8.184158445290191e-06,106.2,25.723530084341068,79,136,5,1,133
binary,M1,permutation,dwt_cA5_entropy,-0.004198518151559958,0.0038245257008608165,-0.009346672232824515,0.0007575757575757792,115.0,17.81852968120546,95,133,5,1,134
binary,M1,permutation,mfcc_01_delta_mean,-0.004613156748629947,0.007531174912765582,-0.016888478304801023,0.0011941431186107577,100.4,38.79819583434261,38,134,5,2,135
binary,M1,permutation,chroma_02_std,-0.005077422621369791,0.008427632243616374,-0.019403706804469022,0.0013305383936452087,101.6,33.53058305487693,70,138,5,2,136
binary,M1,permutation,freq_spectral_entropy,-0.005168477727425325,0.011029826124131063,-0.018233390982824484,0.00573337499813995,95.6,36.48698398059231,58,138,5,2,137
binary,M1,permutation,time_hjorth_complexity,-0.005415338131051281,0.009489210407981013,-0.019612286728831717,0.00615746320848769,103.6,41.524691449786836,57,138,5,1,138
binary,M3,permutation,dwt_cD1_entropy,0.019712306816080178,0.009937469888760712,0.0074554210400763375,0.0306163577522801,2.0,2.23606797749979,1,6,5,5,1
binary,M3,permutation,mfcc_04_mean,0.018398237008451265,0.006929807576917871,0.010372572781331935,0.027301412180052952,2.0,0.7071067811865476,1,3,5,5,2
binary,M3,permutation,mfcc_01_std,0.01305835481083149,0.005684194769481853,0.006077558267339333,0.018546291752071453,3.4,1.140175425099138,2,5,5,5,3
binary,M3,permutation,time_zcr_mean,0.01138770162846466,0.006931785036331401,0.0037840572593486168,0.017509887698836657,8.6,7.469939758793239,2,19,5,5,4
binary,M3,permutation,dwt_cA5_energy,0.006553336240741577,0.008224002447438195,-0.0032666388358778666,0.014731227806807412,52.6,65.32074708697077,4,130,5,3,5
binary,M3,permutation,dwt_cD2_entropy,0.0060552700005347074,0.004882222032848502,-0.0006939943071330057,0.010984848484848476,33.6,45.878099350343625,5,114,5,4,6
binary,M3,permutation,chroma_03_std,0.0053636388250856305,0.006668563443540093,-0.0032565510468282157,0.014422624301265074,42.8,50.95782569929765,5,125,5,4,7
binary,M3,permutation,freq_rolloff85_std,0.005145433890520394,0.004094498400151352,0.0005330093034351058,0.010254337596350981,30.0,26.851443164195103,7,67,5,5,8
