task,fold_label,model_id,kind,feature,importance,importance_std,scoring,n_repeats,n_scored_rows,computed_on,rank
binary,r0f0,M3,permutation,mfcc_12_std,0.007254339511621089,0.0061734586631255,balanced_accuracy,10,647,held-out fold,22
binary,r0f0,M3,permutation,dwt_cD5_std,0.0070123565754633636,0.0040671535606941625,balanced_accuracy,10,647,held-out fold,23
binary,r0f0,M3,permutation,dwt_cA5_entropy,0.006991762283024427,0.005121667393222189,balanced_accuracy,10,647,held-out fold,24
binary,r0f0,M3,permutation,time_autocorr_peak_value,0.006924830832597817,0.0032822020687970914,balanced_accuracy,10,647,held-out fold,25
binary,r0f0,M3,permutation,freq_band_power_250_350,0.006818181818181812,0.0015151515151515138,balanced_accuracy,10,647,held-out fold,26
binary,r0f0,M3,permutation,dwt_cD2_std,0.006818181818181812,0.0015151515151515138,balanced_accuracy,10,647,held-out fold,26
binary,r0f0,M3,permutation,time_iqr,0.006700500147102106,0.006785412129057138,balanced_accuracy,10,647,held-out fold,28
binary,r0f0,M3,permutation,mfcc_09_std,0.006700500147102106,0.002741319554914058,balanced_accuracy,10,647,held-out fold,28
binary,r0f0,M3,permutation,freq_rolloff85_mean,0.006536481318034704,0.004114740263000732,balanced_accuracy,10,647,held-out fold,30
binary,r0f0,M3,permutation,time_hjorth_mobility,0.006439393939393934,0.004166666666666663,balanced_accuracy,10,647,held-out fold,31
binary,r0f0,M3,permutation,freq_centroid_mean,0.006439393939393934,0.004211668253170538,balanced_accuracy,10,647,held-out fold,31
binary,r0f0,M3,permutation,chroma_07_std,0.006439393939393934,0.003409090909090906,balanced_accuracy,10,647,held-out fold,31
binary,r0f0,M3,permutation,freq_band_power_350_400,0.006060606060606055,0.002512594538148028,balanced_accuracy,10,647,held-out fold,34
binary,r0f0,M3,permutation,mfcc_01_mean,0.006060606060606055,0.004545454545454542,balanced_accuracy,10,647,held-out fold,34
binary,r0f0,M3,permutation,dwt_cD4_mean_abs,0.006060606060606055,0.003471648253754421,balanced_accuracy,10,647,held-out fold,34
binary,r0f0,M3,permutation,mfcc_05_mean,0.00602088849661665,0.002277039129187274,balanced_accuracy,10,647,held-out fold,37
binary,r0f0,M3,permutation,mfcc_11_std,0.005817152103559886,0.0036315755750874496,balanced_accuracy,10,647,held-out fold,38
