exp_id,model_id,repeat,fold,fold_label,n_train,n_test,sensitivity,specificity,balanced_accuracy,f1,precision,roc_auc,pr_auc,accuracy,mcc,brier,ece
EXP-A1,M5,4,1,r4f1,2596,644,0.7938931297709924,0.935672514619883,0.8647828221954377,0.7761194029850746,0.7591240875912408,0.9580971087600256,0.8580192359938247,0.906832298136646,0.7176198477292614,0.1346103436699026,0.0120221255089
EXP-A1,M5,4,2,r4f2,2593,647,0.7575757575757576,0.90873786407767,0.8331568108267138,0.7168458781362007,0.6802721088435374,0.943056781406296,0.8202980885205412,0.8778979907264297,0.6408045729920571,0.1606680244615247,0.022413083964321
EXP-A1,M5,4,3,r4f3,2589,651,0.8148148148148148,0.9108527131782944,0.8628337639965546,0.7560137457044673,0.7051282051282052,0.9462245190927362,0.819150968193185,0.890937019969278,0.6892305611204684,0.1618580844982154,0.0261362700355105
EXP-A1,M5,4,4,r4f4,2597,643,0.732824427480916,0.916015625,0.824420026240458,0.7111111111111111,0.6906474820143885,0.8943076097328244,0.7260733568601718,0.8786936236391913,0.634871177088854,0.1969796119365428,0.0594818282598095
EXP-A1,M6,0,0,r0f0,2593,647,0.8712121212121212,0.8,0.8356060606060607,0.6571428571428571,0.5275229357798165,0.9024713150926744,0.6294091149893317,0.8145285935085008,0.5722601151464203,0.2122793247220806,0.0366062210026442
EXP-A1,M6,0,1,r0f1,2589,651,0.9029850746268656,0.7969052224371374,0.8499451485320015,0.6722222222222223,0.5353982300884956,0.9515574929992204,0.8582965866470481,0.8187403993855606,0.5944002163673184,0.1480883409176687,0.0868750092814763
EXP-A1,M6,0,2,r0f2,2596,644,0.8549618320610687,0.8947368421052632,0.8748493370831659,0.7542087542087542,0.6746987951807228,0.9511480142255556,0.8400408674156508,0.8866459627329193,0.6899427904646384,0.1560493976085594,0.0620474099736973
EXP-A1,M6,0,3,r0f3,2585,655,0.7956204379562044,0.8976833976833977,0.8466519178198011,0.7290969899665551,0.6728395061728395,0.941479018121354,0.8453975168555217,0.8763358778625954,0.6535334173897355,0.171572436180327,0.1191081035775401
EXP-A1,M6,0,4,r0f4,2597,643,1.0,0.76953125,0.884765625,0.6894736842105263,0.5261044176706827,0.9498151240458016,0.7349602225584843,0.8164852255054432,0.6362812193996006,0.1657507667267676,0.0827402547638898
EXP-A1,M6,1,0,r1f0,2593,647,0.8636363636363636,0.7883495145631068,0.8259929390997351,0.6422535211267606,0.5112107623318386,0.8963224477787584,0.6252189352561747,0.80370942812983,0.5528323001157996,0.2204822181031887,0.0426975194618803
EXP-A1,M6,1,1,r1f1,2585,655,0.8161764705882353,0.903660886319846,0.8599186784540406,0.7474747474747475,0.6894409937888198,0.946815142241868,0.7991064694103377,0.8854961832061069,0.6781271021535465,0.1620140641732357,0.0825957276639109
EXP-A1,M6,1,2,r1f2,2596,644,0.816793893129771,0.9395711500974658,0.8781825216136184,0.7955390334572491,0.7753623188405797,0.9687811556031724,0.9084930845800774,0.9145962732919256,0.7420120834551659,0.1304361711858561,0.0801683769639572
EXP-A1,M6,1,3,r1f3,2589,651,0.8888888888888888,0.813953488372093,0.851421188630491,0.6837606837606838,0.5555555555555556,0.929787539477462,0.7060592409573588,0.8294930875576036,0.6051710859944731,0.17358760660657,0.0558310380122818
EXP-A1,M6,1,4,r1f4,2597,643,0.9618320610687024,0.818359375,0.8900957180343512,0.72,0.5753424657534246,0.9612953244274808,0.8112089582492885,0.8475894245723172,0.6630813629405635,0.149945452729054,0.1084942783188869
