run,task,model_id,fold_label,n_bins,n_records,brier,ece,mean_confidence,argmax_accuracy,confidence_gap
EXP-A1,binary,M3,r0f3,10,655,0.18270604783517083,0.0935754602081835,0.8026077458986867,0.8961832061068702,-0.09357546020818353
EXP-A1,binary,M3,r0f3,15,655,0.18270604783517083,0.09623675567592992,0.8026077458986867,0.8961832061068702,-0.09357546020818353
EXP-A1,binary,M3,r0f3,20,655,0.18270604783517083,0.09357546020818348,0.8026077458986867,0.8961832061068702,-0.09357546020818353
EXP-A1,binary,M3,r0f4,5,643,0.17837221309970364,0.060035924448244724,0.8214784751885575,0.8786936236391913,-0.0572151484506338
EXP-A1,binary,M3,r0f4,10,643,0.17837221309970364,0.06003592444824486,0.8214784751885575,0.8786936236391913,-0.0572151484506338
EXP-A1,binary,M3,r0f4,15,643,0.17837221309970364,0.06168065533384655,0.8214784751885575,0.8786936236391913,-0.0572151484506338
EXP-A1,binary,M3,r0f4,20,643,0.17837221309970364,0.06160573772671357,0.8214784751885575,0.8786936236391913,-0.0572151484506338
EXP-A1,binary,M3,r1f0,5,647,0.23740618422234733,0.03994141030279618,0.8097699539777352,0.8284389489953632,-0.018668995017627976
EXP-A1,binary,M3,r1f0,10,647,0.23740618422234733,0.039941410302796104,0.8097699539777352,0.8284389489953632,-0.018668995017627976
EXP-A1,binary,M3,r1f0,15,647,0.23740618422234733,0.0578289494614237,0.8097699539777352,0.8284389489953632,-0.018668995017627976
EXP-A1,binary,M3,r1f0,20,647,0.23740618422234733,0.04994530433756901,0.8097699539777352,0.8284389489953632,-0.018668995017627976
EXP-A1,binary,M3,r1f1,5,655,0.1792423379563322,0.058949336493168455,0.818913258926679,0.8778625954198473,-0.05894933649316836
EXP-A1,binary,M3,r1f1,10,655,0.1792423379563322,0.05894933649316838,0.818913258926679,0.8778625954198473,-0.05894933649316836
EXP-A1,binary,M3,r1f1,15,655,0.1792423379563322,0.0646640904547502,0.818913258926679,0.8778625954198473,-0.05894933649316836
EXP-A1,binary,M3,r1f1,20,655,0.1792423379563322,0.06403823818281787,0.818913258926679,0.8778625954198473,-0.05894933649316836
EXP-A1,binary,M3,r1f2,5,644,0.14349879345796598,0.06332533236791918,0.8497181458929504,0.9130434782608695,-0.06332533236791915
EXP-A1,binary,M3,r1f2,10,644,0.14349879345796598,0.06332533236791911,0.8497181458929504,0.9130434782608695,-0.06332533236791915
EXP-A1,binary,M3,r1f2,15,644,0.14349879345796598,0.06332533236791917,0.8497181458929504,0.9130434782608695,-0.06332533236791915
EXP-A1,binary,M3,r1f2,20,644,0.14349879345796598,0.0643819249638086,0.8497181458929504,0.9130434782608695,-0.06332533236791915
EXP-A1,binary,M3,r1f3,5,651,0.18479337584155064,0.023950304476803377,0.8453021470008795,0.8663594470046083,-0.02105730000372885
EXP-A1,binary,M3,r1f3,10,651,0.18479337584155064,0.023950304476803352,0.8453021470008795,0.8663594470046083,-0.02105730000372885
EXP-A1,binary,M3,r1f3,15,651,0.18479337584155064,0.03298230038563721,0.8453021470008795,0.8663594470046083,-0.02105730000372885
EXP-A1,binary,M3,r1f3,20,651,0.18479337584155064,0.042890478684347776,0.8453021470008795,0.8663594470046083,-0.02105730000372885
EXP-A1,binary,M3,r1f4,5,643,0.1669009716548559,0.08408109918984646,0.8117198339361256,0.895800933125972,-0.08408109918984641
EXP-A1,binary,M3,r1f4,10,643,0.1669009716548559,0.08408109918984646,0.8117198339361256,0.895800933125972,-0.08408109918984641
EXP-A1,binary,M3,r1f4,15,643,0.1669009716548559,0.08408109918984644,0.8117198339361256,0.895800933125972,-0.08408109918984641
EXP-A1,binary,M3,r1f4,20,643,0.1669009716548559,0.08408109918984645,0.8117198339361256,0.895800933125972,-0.08408109918984641
