run,task,model_id,kind,n_bins,bin,bin_low,bin_high,confidence_mean,accuracy_mean,accuracy_sd,n_folds,n_records,n_classes
EXP-C1-three_class,circor_murmur,M4,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5534202630569325,0.7017815315166629,0.03759876492916819,5,974,3
EXP-C1-three_class,circor_murmur,M4,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6473429920839786,0.791022348391718,0.0323561640376385,5,838,3
EXP-C1-three_class,circor_murmur,M4,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7437981156741158,0.8910929063120211,0.07844426171172485,5,532,3
EXP-C1-three_class,circor_murmur,M4,confidence_vs_accuracy,10,8,0.8,0.9,0.8313015277521238,0.9139179935648875,0.08429093416319741,5,144,3
EXP-C1-three_class,circor_murmur,M4,confidence_vs_accuracy,10,9,0.9,1.0,0.929105447782099,1.0,0.0,5,15,3
EXP-C1-three_class,circor_murmur,M5,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.3805303865627925,0.45149711399711395,0.19716818722397655,5,99,3
EXP-C1-three_class,circor_murmur,M5,confidence_vs_accuracy,10,4,0.4,0.5,0.4606891431450668,0.5617346644277694,0.07088000479385713,5,476,3
EXP-C1-three_class,circor_murmur,M5,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5498490208489787,0.6221006338757007,0.05411738733256955,5,666,3
EXP-C1-three_class,circor_murmur,M5,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6512139645253299,0.7698808689767558,0.03643653351101699,5,884,3
EXP-C1-three_class,circor_murmur,M5,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7469359807807193,0.8313909653564826,0.04573223066273512,5,734,3
EXP-C1-three_class,circor_murmur,M5,confidence_vs_accuracy,10,8,0.8,0.9,0.8343541320872656,0.9157025821081121,0.06089472990364155,5,290,3
EXP-C1-three_class,circor_murmur,M5,confidence_vs_accuracy,10,9,0.9,1.0,0.9125552517180828,1.0,0.0,4,14,3
EXP-C1-three_class,circor_murmur,M6,confidence_vs_accuracy,10,4,0.4,0.5,0.4834358660059398,0.43882783882783877,0.15543829907846224,5,56,3
EXP-C1-three_class,circor_murmur,M6,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5582713235753152,0.5843893768745719,0.0461599683976496,5,276,3
EXP-C1-three_class,circor_murmur,M6,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6545292306328809,0.7230936571994344,0.062941216651734,5,540,3
EXP-C1-three_class,circor_murmur,M6,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7560135010575487,0.8152097407018747,0.062476781381195966,5,1253,3
EXP-C1-three_class,circor_murmur,M6,confidence_vs_accuracy,10,8,0.8,0.9,0.8301210090516161,0.883685118410354,0.04069048537284167,5,1036,3
EXP-C1-three_class,circor_murmur,M6,confidence_vs_accuracy,10,9,0.9,1.0,0.9021125659227578,1.0,,1,2,3
EXP-C1-three_class,circor_murmur,M7,confidence_vs_accuracy,10,3,0.30000000000000004,0.4,0.379275490193302,0.5263888888888889,0.22568482885499558,4,34,3
EXP-C1-three_class,circor_murmur,M7,confidence_vs_accuracy,10,4,0.4,0.5,0.46851988205894946,0.5020324591501628,0.07924524778041542,5,256,3
EXP-C1-three_class,circor_murmur,M7,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.554588853334273,0.6608529427965518,0.03626705618948309,5,544,3
EXP-C1-three_class,circor_murmur,M7,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6583228225556103,0.7802861885060837,0.10288863757822778,5,667,3
EXP-C1-three_class,circor_murmur,M7,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7537059064344178,0.8356110045152864,0.0885303574843213,5,755,3
EXP-C1-three_class,circor_murmur,M7,confidence_vs_accuracy,10,8,0.8,0.9,0.8375692242902255,0.8730553892561146,0.052096968540264625,5,770,3
EXP-C1-three_class,circor_murmur,M7,confidence_vs_accuracy,10,9,0.9,1.0,0.925113142292893,0.9512820512820513,0.08438196242002224,3,137,3
EXP-C1-two_class,circor_murmur,M3,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5499204652030778,0.6191600353669319,0.10216831275333804,5,158,2
EXP-C1-two_class,circor_murmur,M3,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6544369079404073,0.6591942619959861,0.038550271995066346,5,277,2
EXP-C1-two_class,circor_murmur,M3,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.758641928110214,0.8280361654035368,0.017601854148381803,5,521,2
EXP-C1-two_class,circor_murmur,M3,confidence_vs_accuracy,10,8,0.8,0.9,0.8540960166562787,0.8653637300398375,0.038241052317685445,5,1249,2
EXP-C1-two_class,circor_murmur,M3,confidence_vs_accuracy,10,9,0.9,1.0,0.929798476991829,0.9137665609465326,0.029268538462677355,5,802,2
EXP-C1-two_class,circor_murmur,M4,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.552256918166559,0.598746296481241,0.04956244675947024,5,483,2
EXP-C1-two_class,circor_murmur,M4,confidence_vs_accuracy,10,6,0.6000000000000001,0.7000000000000001,0.6538176153924946,0.799039123493359,0.032894040162804436,5,754,2
EXP-C1-two_class,circor_murmur,M4,confidence_vs_accuracy,10,7,0.7000000000000001,0.8,0.7490844084616046,0.8739680494486443,0.05366384986449654,5,941,2
EXP-C1-two_class,circor_murmur,M4,confidence_vs_accuracy,10,8,0.8,0.9,0.8428264382665415,0.8966800125117723,0.029710372224887663,5,637,2
EXP-C1-two_class,circor_murmur,M4,confidence_vs_accuracy,10,9,0.9,1.0,0.9309298440758296,0.9469147005444645,0.0731855539652818,5,192,2
EXP-C1-two_class,circor_murmur,M5,confidence_vs_accuracy,10,5,0.5,0.6000000000000001,0.5469961288405669,0.5771637312459231,0.02881496814113847,5,293,2
